municipio,departamento,afectados,porcentaje
Anori,Antioquia,Alto,26.78%
Dabeiba,Antioquia,Alto,28.60%
Ituango,Antioquia,Intermedio,23.88%
Remedios,Antioquia,Intermedio,21.03%
Vigia,Fuerte,Antioquia,Ninguno,41.70%
Cartagena del Chaira,Caqueta,Intermedio,26.20%
La Montañita Caqueta,Alto,29.87%
San Vicente del Caguan,Caqueta,Intermedio,31.04%
Buenos Aires,Cauca,Bajo,43.06%
Caldono	Cauca,Bajo,43.35%
Corinto	Cauca,Bajo,48.66%
La Paz Cesar,Ninguno,33.01%
Tierralta Cordoba,Alto,30.66%
Riosucio,Choco,Alto,28.68%
Fonseca	La Guajira,Bajo,34.86%
Mesetas,Meta,Intermedio,40.15%
La Macarena,Meta,Alto,39.34%
Vista Hermosa,Meta,Ninguno,42.28%
Policarpa,Nariño,Alto,44.64%
Tumaco,Nariño,Alto,28.14%
Tibu,Norte de Santander,Alto,29.42%
Planadas,Tolima,Bajo,31.56%
Villarrica,Tolima,Ninguno,34.45%
Arauquita,Arauca,Bajo,37.08%
Puerto Asis,Putumayo,Alto,26.73%
San Jose del Guaviare,Guaviare,Alto,41.95%