country,variable,value
Amazonas,Se Abstuvo,73.85
Amazonas,Voto NO,11.15
Amazonas,Voto SI,14.56
Amazonas,No Validos,0.44
Antioquia,Se Abstuvo,61.62
Antioquia,Voto NO,23.3
Antioquia,Voto SI,14.28
Antioquia,No Validos,0.81
Arauca,Se Abstuvo,65.41
Arauca,Voto NO,17.14
Arauca,Voto SI,16.22
Arauca,No Validos,1.22
San Andres Islas,Se Abstuvo,79.79
San Andres Islas,Voto NO,9.01
San Andres Islas,Voto SI,11.02
San Andres Islas,No Validos,0.18
Atlántico,Se Abstuvo,75.9
Atlántico,Voto NO,9.41
Atlántico,Voto SI,14.43
Atlántico,No Validos,0.26
Bogotá D.C.,Se Abstuvo,53.66
Bogotá D.C.,Voto NO,20.1
Bogotá D.C.,Voto SI,25.66
Bogotá D.C.,No Validos,0.57
Bolívar,Se Abstuvo,76.67
Bolívar,Voto NO,9.14
Bolívar,Voto SI,13.85
Bolívar,No Validos,0.34
Boyacá,Se Abstuvo,58.25
Boyacá,Voto NO,20.26
Boyacá,Voto SI,20.34
Boyacá,No Validos,1.15
Caldas,Se Abstuvo,58.17
Caldas,Voto NO,23.17
Caldas,Voto SI,17.41
Caldas,No Validos,1.26
Caqueta,Se Abstuvo,69.58
Caqueta,Voto NO,15.76
Caqueta,Voto SI,13.95
Caqueta,No Validos,0.72
Casanare,Se Abstuvo,51.02
Casanare,Voto NO,33.84
Casanare,Voto SI,13.72
Casanare,No Validos,1.42
Cauca,Se Abstuvo,61.01
Cauca,Voto NO,12.27
Cauca,Voto SI,25.36
Cauca,No Validos,1.36
Cesar,Se Abstuvo,67.46
Cesar,Voto NO,15.73
Cesar,Voto SI,16.15
Cesar,No Validos,0.67
Choco,Se Abstuvo,67.12
Choco,Voto NO,6.43
Choco,Voto SI,25.34
Choco,No Validos,1.11
Córdoba,Se Abstuvo,68.35
Córdoba,Voto NO,12.16
Córdoba,Voto SI,18.81
Córdoba,No Validos,0.68
Cundinamarca,Se Abstuvo,55.17
Cundinamarca,Voto NO,24.8
Cundinamarca,Voto SI,19.08
Cundinamarca,No Validos,0.95
La Guajira,Se Abstuvo,80.61
La Guajira,Voto NO,7.38
La Guajira,Voto SI,11.62
La Guajira,No Validos,0.4
Guania,Se Abstuvo,75.81
Guania,Voto NO,10.55
Guania,Voto SI,13.18
Guania,No Validos,0.46
Guaviare,Se Abstuvo,61.21
Guaviare,Voto NO,17.58
Guaviare,Voto SI,19.72
Guaviare,No Validos,1.48
Huila,Se Abstuvo,60.81
Huila,Voto NO,23.34
Huila,Voto SI,15.06
Huila,No Validos,0.79
Magdalena,Se Abstuvo,75.56
Magdalena,Voto NO,9.47
Magdalena,Voto SI,14.53
Magdalena,No Validos,0.44
Meta,Se Abstuvo,54.57
Meta,Voto NO,28.32
Meta,Voto SI,16.22
Meta,No Validos,0.9
Nariño,Se Abstuvo,63.27
Nariño,Voto NO,12.54
Nariño,Voto SI,23.11
Nariño,No Validos,1.08
N.de Santander,Se Abstuvo,59.69
N.de Santander,Voto NO,25.21
N.de Santander,Voto SI,14.23
N.de Santander,No Validos,0.86
Putumayo,Se Abstuvo,67.06
Putumayo,Voto NO,11.05
Putumayo,Voto SI,20.98
Putumayo,No Validos,0.91
Quindio,Se Abstuvo,58.68
Quindio,Voto NO,24.28
Quindio,Voto SI,16.1
Quindio,No Validos,0.95
Risaralda,Se Abstuvo,58.61
Risaralda,Voto NO,22.52
Risaralda,Voto SI,17.92
Risaralda,No Validos,0.95
Santander,Se Abstuvo,56.32
Santander,Voto NO,23.81
Santander,Voto SI,18.98
Santander,No Validos,0.89
Sucre,Se Abstuvo,65.64
Sucre,Voto NO,12.83
Sucre,Voto SI,20.83
Sucre,No Validos,0.71
Tolima,Se Abstuvo,60.01
Tolima,Voto NO,23.35
Tolima,Voto SI,15.76
Tolima,No Validos,0.89
Vaupes,Se Abstuvo,76.26
Vaupes,Voto NO,5.11
Vaupes,Voto SI,18.16
Vaupes,No Validos,0.47
Valle del Cauca,Se Abstuvo,63.88
Valle del Cauca,Voto NO,16.88
Valle del Cauca,Voto SI,18.62
Valle del Cauca,No Validos,0.63
Vichada,Se Abstuvo,73.75
Vichada,Voto NO,12.68
Vichada,Voto SI,13.02
Vichada,No Validos,0.54